url,image_url,brand,product,add_info,price_value,price_currency,discount_value,discount_code,country,retailer,scraped_at
https://www.notino.co.uk/blanx/white-shock-whitening-toothpaste-against-stains-on-tooth-enamel-with-immediate-effect/,https://cdn.notinoimg.com/list_2k//blanx/8017331051573_01__160413.jpg,BlanX,White Shock Instant White,whitening toothpaste 75 ml,4.0,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/blanx/white-detox-coconut-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331071540_01-o__210205.jpg,BlanX,White Detox Coconut,whitening toothpaste with coconut oil 75 ml,3.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/ecodenta/extra-toothpaste-with-triple-effect/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331903_01-o__160825.jpg,Ecodenta,Expert Triple Force,fluoride-free toothpaste with triple effect 100 ml,3.5,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curaprox/enzycal-zero-toothpaste/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422849_01-o__150224.jpg,Curaprox,Enzycal Zero,toothpaste 75 ml,5.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/marvis-orange-blossom-bloom-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111626_01-o__190911.jpg,Marvis,Orange Blossom Bloom,toothpaste flavour Orange 75 ml,5.6,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curasept/caries-abrasion-erosion-anti-decay-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746072445_01-o__220203.jpg,Curasept,Caries Abrasion & Erosion,anti-decay toothpaste 75 ml,7.8,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/ecodenta/certified-organic-anti-plaque-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001004333_01-o__210809.jpg,Ecodenta,Certified Organic Charcoal whitening,whitening toothpaste with activated charcoal 75 ml,5.1,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/splat/biomed-sensitive-bioactive-toothpaste-for-healthy-gums-and-teeth-sensitivity-reduction/,https://cdn.notinoimg.com/list_2k//splat/2800015078371_01-o__220908.jpg,Splat,Biomed Sensitive,bioactive toothpaste to reduce tooth sensitivity and for healthy gums 100 g,3.9,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/sensodyne/sensitivity-gum-sensitive-toothpaste-577854/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563157904_01-o__240514.jpg,Sensodyne,Sensitivity & Gum,sensitive toothpaste,3.7,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/sensodyne/repair-protect-toothpaste-for-sensitive-teeth-73385/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103567_01-o__210908.jpg,Sensodyne,Repair & Protect,toothpaste for sensitive teeth,5.0,£,,,uk,notino,2024-05-22 11:37:35.087116
